Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Combined Exploration,deceptive,6,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.15141806722689075,0.0037589512523621893
Combined Exploration,deceptive,7,10,0.6,0.0,0.1119999999999999,29.8,3.3333333333333335,0.14667187387775624,0.0037493793862163937
Combined Exploration,deceptive,8,10,0.6,0.0,0.12599999999999992,28.4,1.0,0.13891806722689076,0.0037771567422344395
Combined Exploration,deceptive,9,10,0.6,0.0,0.1119999999999999,29.8,3.3333333333333335,0.16471171802054155,0.003758607513322388
Combined Exploration,easy,0,10,1.0,0.0,0.944,6.6,1.6,0.0,0.003989825101803973
Combined Exploration,easy,1,10,1.0,0.0,0.95,6.0,1.0,0.0,0.004002479473336799
Combined Exploration,easy,2,10,1.0,0.0,0.944,6.6,1.6,0.0,0.003972304624175331
Combined Exploration,easy,3,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004011542934869432
Combined Exploration,easy,4,10,1.0,0.0,0.9259999999999999,8.4,3.4,0.0,0.004027858374121769
Combined Exploration,easy,5,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.004028643547859065
Combined Exploration,easy,6,10,1.0,0.0,0.9399999999999998,7.0,2.0,0.0,0.004010052446843831
Combined Exploration,easy,7,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.003979975023553175
Combined Exploration,easy,8,10,1.0,0.0,0.938,7.2,2.2,0.0,0.004113324861300831
Combined Exploration,easy,9,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.003980295255323799
Combined Exploration,obstacle,0,10,1.0,0.0,0.892,11.8,2.8,0.0,0.0038284911451542127
Combined Exploration,obstacle,1,10,1.0,0.0,0.9020000000000001,10.8,1.8,0.0,0.0037535268329436247
Combined Exploration,obstacle,2,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.003760001759692623
Combined Exploration,obstacle,3,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0037906919205842895
Combined Exploration,obstacle,4,10,1.0,0.0,0.8699999999999999,14.0,5.0,0.0,0.0037971993197332644
Combined Exploration,obstacle,5,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0037704792786889115
Combined Exploration,obstacle,6,10,1.0,0.0,0.8779999999999999,13.2,4.2,0.0,0.0037729053771123414
Combined Exploration,obstacle,7,10,1.0,0.0,0.8940000000000001,11.6,2.6,0.0,0.003773411664805229
Combined Exploration,obstacle,8,10,1.0,0.0,0.8620000000000001,14.8,5.8,0.0,0.003851991490776497
Combined Exploration,obstacle,9,10,1.0,0.0,0.8860000000000001,12.4,3.4,0.0,0.00378342627028285
Combined Exploration,random_small,0,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004667422175698448
Combined Exploration,random_small,1,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.0040265248000598925
Combined Exploration,random_small,2,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004058433877022859
Combined Exploration,random_small,3,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.0040397217753343284
Combined Exploration,random_small,4,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.003996024316547846
Combined Exploration,random_small,5,10,1.0,0.0,0.9259999999999999,8.4,0.4,0.0,0.004038282544534013
Combined Exploration,random_small,6,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.003992845928441966
Combined Exploration,random_small,7,10,1.0,0.0,0.916,9.4,1.4,0.0,0.004052942441867343
Combined Exploration,random_small,8,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004061792640732165
Combined Exploration,random_small,9,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.004024791990559606
Dead-End Memory,deceptive,0,10,0.1,0.9,-0.875,8.5,0.0,0.6571428571428571,0.0019132680480255751
Dead-End Memory,deceptive,1,10,0.0,0.9,-1.041,10.1,,0.7435897435897435,0.0018914042955342062
Dead-End Memory,deceptive,2,10,0.0,1.0,-1.1110000000000002,12.1,,0.7406818181818182,0.0019087295341349143
Dead-End Memory,deceptive,3,10,0.0,1.0,-1.098,10.8,,0.7196504775452144,0.0019141351734745006
Dead-End Memory,deceptive,4,10,0.0,0.9,-1.036,9.6,,0.736624649859944,0.0018992536405359826
Dead-End Memory,deceptive,5,10,0.0,1.0,-1.0839999999999999,9.4,,0.7070707070707071,0.001898404953291482
Dead-End Memory,deceptive,6,10,0.0,1.0,-1.097,10.7,,0.7358333333333333,0.001882399891845946
Dead-End Memory,deceptive,7,10,0.0,1.0,-1.064,7.4,,0.7222222222222221,0.001876436671754207
Dead-End Memory,deceptive,8,10,0.0,1.0,-1.0550000000000002,6.5,,0.7325396825396826,0.0019182219588037696
Dead-End Memory,deceptive,9,10,0.0,1.0,-1.1280000000000001,13.8,,0.7042857142857143,0.0018816610087744642
Dead-End Memory,easy,0,10,1.0,0.0,0.942,6.8,1.8,0.0,0.0019191615318666128
Dead-End Memory,easy,1,10,1.0,0.0,0.9280000000000002,8.2,3.2,0.0,0.0020304533805155646
Dead-End Memory,easy,2,10,1.0,0.0,0.9099999999999999,10.0,5.0,0.0,0.0018992253958770252
Dead-End Memory,easy,3,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.0018982508701793402
Dead-End Memory,easy,4,10,1.0,0.0,0.9260000000000002,8.4,3.4,0.0,0.0019073461373828495
Dead-End Memory,easy,5,10,1.0,0.0,0.932,7.8,2.8,0.0,0.0018964628317549761
Dead-End Memory,easy,6,10,1.0,0.0,0.9419999999999998,6.8,1.8,0.0,0.0019207142218760492
Dead-End Memory,easy,7,10,1.0,0.0,0.9280000000000002,8.2,3.2,0.0,0.001874062503411866
Dead-End Memory,easy,8,10,1.0,0.0,0.9179999999999999,9.2,4.2,0.0,0.0019189237562213315
Dead-End Memory,easy,9,10,1.0,0.0,0.9059999999999999,10.4,5.4,0.0,0.001913129046505169
Dead-End Memory,obstacle,0,10,0.6,0.4,0.143,6.7,0.3333333333333333,0.42666666666666664,0.002121322795449147
Dead-End Memory,obstacle,1,10,0.4,0.6,-0.24500000000000002,5.5,0.0,0.5047619047619047,0.0019473144165304903
Dead-End Memory,obstacle,2,10,0.6,0.4,0.12899999999999998,8.1,2.3333333333333335,0.39904761904761904,0.0019049389034792284
Dead-End Memory,obstacle,3,10,0.4,0.6,-0.251,6.1,1.0,0.5161111111111112,0.0018855610787226157
Dead-End Memory,obstacle,4,10,0.5,0.5,-0.05100000000000001,6.1,0.4,0.4866666666666667,0.001920942801584118
Dead-End Memory,obstacle,5,10,0.5,0.5,-0.05599999999999997,6.6,0.4,0.48666666666666664,0.0019072341198008154
Dead-End Memory,obstacle,6,10,0.5,0.5,-0.05300000000000006,6.3,0.8,0.44666666666666666,0.0018842165324667345
Dead-End Memory,obstacle,7,10,0.5,0.5,-0.05099999999999997,6.1,0.0,0.4600000000000001,0.0019145721155736182
Dead-End Memory,obstacle,8,10,0.4,0.6,-0.25299999999999995,6.3,2.5,0.47380952380952374,0.00194079714575142
Dead-End Memory,obstacle,9,10,0.6,0.4,0.143,6.7,0.3333333333333333,0.44333333333333347,0.0019225047413526381
Dead-End Memory,random_small,0,10,1.0,0.0,0.9119999999999999,9.8,1.8,0.0,0.0019088354090248077
Dead-End Memory,random_small,1,10,1.0,0.0,0.908,10.2,2.2,0.0,0.001909388620829088
Dead-End Memory,random_small,2,10,1.0,0.0,0.9139999999999999,9.6,1.6,0.0,0.0019299289298301333
Dead-End Memory,random_small,3,10,1.0,0.0,0.916,9.4,1.4,0.0,0.0019017735377565258
Dead-End Memory,random_small,4,10,1.0,0.0,0.9179999999999998,9.2,1.2,0.0,0.0018873693627028843
Dead-End Memory,random_small,5,10,1.0,0.0,0.9039999999999999,10.6,2.6,0.0,0.001893132513631337
Dead-End Memory,random_small,6,10,1.0,0.0,0.916,9.4,1.4,0.0,0.0019031421091414004
Dead-End Memory,random_small,7,10,1.0,0.0,0.89,12.0,4.0,0.0,0.0018990940319007867
Dead-End Memory,random_small,8,10,1.0,0.0,0.8939999999999999,11.6,3.6,0.0,0.0019076835545755
Dead-End Memory,random_small,9,10,1.0,0.0,0.9,11.0,3.0,0.0,0.0019049873475367868
Diverse Candidates,deceptive,0,10,0.1,0.0,-0.8170000000000002,47.7,14.0,0.7494397759103641,0.004367158426382553
Diverse Candidates,deceptive,1,10,0.1,0.0,-0.8330000000000002,49.3,30.0,0.8001782531194296,0.0037322570471462605
Diverse Candidates,deceptive,2,10,0.1,0.0,-0.8110000000000003,47.1,8.0,0.7493761140819963,0.003742847579826568
Diverse Candidates,deceptive,3,10,0.2,0.0,-0.6340000000000001,44.4,9.0,0.6898109243697479,0.003734310975345155
Diverse Candidates,deceptive,4,10,0.2,0.0,-0.6320000000000002,44.2,8.0,0.7377626050420169,0.0037554403981258583
Diverse Candidates,deceptive,5,10,0.1,0.0,-0.8050000000000003,46.5,2.0,0.7881127450980392,0.0037339203292212917
Diverse Candidates,deceptive,6,10,0.1,0.0,-0.8130000000000003,47.3,10.0,0.7911764705882354,0.0037505990944413023
Diverse Candidates,deceptive,7,10,0.0,0.0,-0.9900000000000002,50.0,,0.8294117647058823,0.00371368542779237
Diverse Candidates,deceptive,8,10,0.0,0.0,-0.9900000000000002,50.0,,0.8196078431372549,0.003739167505642399
Diverse Candidates,deceptive,9,10,0.0,0.0,-0.9900000000000002,50.0,,0.7960784313725491,0.003735220226313686
Diverse Candidates,easy,0,10,1.0,0.0,0.944,6.6,1.6,0.0,0.003945223596302741
Diverse Candidates,easy,1,10,1.0,0.0,0.952,5.8,0.8,0.0,0.003993201347392253
Diverse Candidates,easy,2,10,1.0,0.0,0.9499999999999998,6.0,1.0,0.0,0.0039302694052365415
Diverse Candidates,easy,3,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.004077766845063247
Diverse Candidates,easy,4,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.003934534531325058
Diverse Candidates,easy,5,10,1.0,0.0,0.9400000000000001,7.0,2.0,0.0,0.00397289989771144
Diverse Candidates,easy,6,10,1.0,0.0,0.9359999999999999,7.4,2.4,0.0,0.0039532427090573094
Diverse Candidates,easy,7,10,1.0,0.0,0.938,7.2,2.2,0.0,0.00395395974485418
Diverse Candidates,easy,8,10,1.0,0.0,0.9339999999999999,7.6,2.6,0.0,0.004066585176166431
Diverse Candidates,easy,9,10,1.0,0.0,0.9419999999999998,6.8,1.8,0.0,0.003943004244816207
Diverse Candidates,obstacle,0,10,1.0,0.0,0.8939999999999999,11.6,2.6,0.0,0.00413052563748548
Diverse Candidates,obstacle,1,10,1.0,0.0,0.9040000000000001,10.6,1.6,0.0,0.0037855242791583086
Diverse Candidates,obstacle,2,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.003719535859629552
Diverse Candidates,obstacle,3,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.003744342628567722
Diverse Candidates,obstacle,4,10,1.0,0.0,0.8699999999999999,14.0,5.0,0.0,0.0037499493225360537
Diverse Candidates,obstacle,5,10,1.0,0.0,0.8800000000000001,13.0,4.0,0.0,0.0037606540336695476
Diverse Candidates,obstacle,6,10,1.0,0.0,0.8779999999999999,13.2,4.2,0.0,0.00374538234685807
Diverse Candidates,obstacle,7,10,1.0,0.0,0.8940000000000001,11.6,2.6,0.0,0.003758249378154107
Diverse Candidates,obstacle,8,10,1.0,0.0,0.8720000000000001,13.8,4.8,0.0,0.0038180981415286844
Diverse Candidates,obstacle,9,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.0037596303788676117
Diverse Candidates,random_small,0,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.004004472525618136
Diverse Candidates,random_small,1,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.003992789225594606
Diverse Candidates,random_small,2,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.003995059113391713
Diverse Candidates,random_small,3,10,1.0,0.0,0.9219999999999999,8.8,0.8,0.0,0.004000149207022332
Diverse Candidates,random_small,4,10,1.0,0.0,0.9179999999999999,9.2,1.2,0.0,0.003974147160810216
Diverse Candidates,random_small,5,10,1.0,0.0,0.9259999999999999,8.4,0.4,0.0,0.004010715079893998
Diverse Candidates,random_small,6,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.003956762899833847
Diverse Candidates,random_small,7,10,1.0,0.0,0.9239999999999998,8.6,0.6,0.0,0.003990401752962498
Diverse Candidates,random_small,8,10,1.0,0.0,0.9199999999999999,9.0,1.0,0.0,0.004020207382400258
Diverse Candidates,random_small,9,10,1.0,0.0,0.9279999999999999,8.2,0.2,0.0,0.004030287323330413
Failure-Memory Baseline,deceptive,0,10,0.1,0.9,-0.8960000000000001,10.6,0.0,0.6057142857142858,0.001988908929229324
Failure-Memory Baseline,deceptive,1,10,0.0,1.0,-1.0559999999999998,6.6,,0.7102564102564102,0.001897086127144229
Failure-Memory Baseline,deceptive,2,10,0.0,1.0,-1.052,6.2,,0.7739285714285714,0.001891836712868445
Failure-Memory Baseline,deceptive,3,10,0.0,1.0,-1.063,7.3,,0.7511583011583012,0.0019263737656405686
Failure-Memory Baseline,deceptive,4,10,0.0,1.0,-1.063,7.3,,0.7047619047619047,0.0019163311345859984
Failure-Memory Baseline,deceptive,5,10,0.0,1.0,-1.0679999999999998,7.8,,0.7384615384615385,0.0019136450695198923
Failure-Memory Baseline,deceptive,6,10,0.1,0.9,-0.859,6.9,2.0,0.73125,0.0018884100168045856
Failure-Memory Baseline,deceptive,7,10,0.0,1.0,-1.063,7.3,,0.788888888888889,0.0018807142000393166
Failure-Memory Baseline,deceptive,8,10,0.0,0.9,-1.0370000000000001,9.7,,0.7761344537815126,0.001920034305223251
Failure-Memory Baseline,deceptive,9,10,0.0,1.0,-1.0459999999999998,5.6,,0.7547619047619047,0.0018943126335862974
Failure-Memory Baseline,easy,0,10,1.0,0.0,0.942,6.8,1.8,0.0,0.001940357048344919
Failure-Memory Baseline,easy,1,10,1.0,0.0,0.9280000000000002,8.2,3.2,0.0,0.0019328127419513314
Failure-Memory Baseline,easy,2,10,1.0,0.0,0.9099999999999999,10.0,5.0,0.0,0.0018985506539313957
Failure-Memory Baseline,easy,3,10,1.0,0.0,0.9299999999999999,8.0,3.0,0.0,0.0018989210491485102
Failure-Memory Baseline,easy,4,10,1.0,0.0,0.9260000000000002,8.4,3.4,0.0,0.0019204008025057323
Failure-Memory Baseline,easy,5,10,1.0,0.0,0.932,7.8,2.8,0.0,0.0018957972569206513
Failure-Memory Baseline,easy,6,10,1.0,0.0,0.9419999999999998,6.8,1.8,0.0,0.0018891758083285405
Failure-Memory Baseline,easy,7,10,1.0,0.0,0.9280000000000002,8.2,3.2,0.0,0.001878334565655867
Failure-Memory Baseline,easy,8,10,1.0,0.0,0.9179999999999999,9.2,4.2,0.0,0.0019259696558029172
