success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Map,Seed
1,0.9,11,0,0.0,2.0,0.003763129002023065,Diverse Candidates,obstacle,0
1,0.92,9,0,0.0,0.0,0.0036546205568204946,Diverse Candidates,obstacle,0
1,0.9,11,0,0.0,2.0,0.0036318978196835483,Diverse Candidates,obstacle,0
1,0.88,13,0,0.0,4.0,0.0037554356912061428,Diverse Candidates,obstacle,0
1,0.88,13,0,0.0,4.0,0.003736964769464416,Diverse Candidates,obstacle,0
1,0.9,11,0,0.0,2.0,0.0037628672712757675,Diverse Candidates,obstacle,0
1,0.92,9,0,0.0,0.0,0.003816726885917079,Diverse Candidates,obstacle,0
0,-1.02,3,1,0.0,,0.0019423610016625996,Adaptive Failure,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.001966229006939102,Adaptive Failure,obstacle,0
0,-1.03,4,1,0.6,,0.002400416498858249,Adaptive Failure,obstacle,0
0,-1.02,3,1,0.5,,0.0021748886744414144,Adaptive Failure,obstacle,0
1,0.9,11,0,0.25,2.0,0.0022234697283817118,Adaptive Failure,obstacle,0
0,-1.01,2,1,1.0,,0.0019961044963565655,Adaptive Failure,obstacle,0
1,0.9,11,0,0.25,2.0,0.0019158790911950002,Adaptive Failure,obstacle,0
1,0.92,9,0,0.4,0.0,0.0019248196670863156,Adaptive Failure,obstacle,0
1,0.86,15,0,0.1875,6.0,0.0019115778006380424,Adaptive Failure,obstacle,0
1,0.9,11,0,0.25,2.0,0.001918177911482582,Adaptive Failure,obstacle,0
1,0.92,9,0,0.0,0.0,0.00382606488710735,Combined Exploration,obstacle,0
1,0.84,17,0,0.0,8.0,0.0037678750009303365,Combined Exploration,obstacle,0
1,0.88,13,0,0.0,4.0,0.0037869006941596475,Combined Exploration,obstacle,0
1,0.9,11,0,0.0,2.0,0.0037640569075434046,Combined Exploration,obstacle,0
1,0.92,9,0,0.0,0.0,0.003825842666426777,Combined Exploration,obstacle,0
1,0.9,11,0,0.0,2.0,0.0037802045421399685,Combined Exploration,obstacle,0
1,0.86,15,0,0.0,6.0,0.003871405401150696,Combined Exploration,obstacle,0
1,0.88,13,0,0.0,4.0,0.0038533078443903765,Combined Exploration,obstacle,0
1,0.9,11,0,0.0,2.0,0.0038153787265235387,Combined Exploration,obstacle,0
1,0.92,9,0,0.0,0.0,0.003993874781170032,Combined Exploration,obstacle,0
0,-1.03,4,1,0.0,,0.002060937502392335,Failure-Memory Baseline,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0020282501995097847,Failure-Memory Baseline,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0020045420023961924,Failure-Memory Baseline,deceptive,0
