success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
1,0.95,6,0,0.0,0.0,7.704996581499776e-07,Q-learning,0,task_01
1,0.95,6,0,0.0,0.0,0.0011353821707113336,MCTS,0,task_01
1,0.91,10,0,0.0,4.0,0.0014939042972400784,MCTS,0,task_01
1,0.9299999999999999,8,0,0.0,2.0,0.001452078000511392,MCTS,0,task_01
1,0.95,6,0,0.0,0.0,0.0011018121658707969,MCTS,0,task_01
1,0.9299999999999999,8,0,0.0,2.0,0.001319937622611178,MCTS,0,task_01
0,-1.0,1,1,0.0,,0.0013892080023651943,Map-Conditioned Standard Diffusion,0,task_01
0,-1.0,1,1,0.0,,0.001311667001573369,Map-Conditioned Standard Diffusion,0,task_01
0,-1.0,1,1,0.0,,0.001309333005337976,Map-Conditioned Standard Diffusion,0,task_01
0,-1.02,3,1,0.0,,0.0013433193331972386,Map-Conditioned Standard Diffusion,0,task_01
0,-1.0,1,1,0.0,,0.0014757919998373836,Map-Conditioned Standard Diffusion,0,task_01
0,-1.0,1,1,0.0,,0.0014625839976361021,Map-Conditioned Failure-Memory Diffusion,0,task_01
1,0.9299999999999999,8,0,0.1111111111111111,2.0,0.0013839584971719887,Map-Conditioned Failure-Memory Diffusion,0,task_01
0,-1.02,3,1,0.25,,0.0013975000038044527,Map-Conditioned Failure-Memory Diffusion,0,task_01
0,-1.01,2,1,1.0,,0.0013805420021526515,Map-Conditioned Failure-Memory Diffusion,0,task_01
1,0.91,10,0,0.36363636363636365,4.0,0.0014109333002124912,Map-Conditioned Failure-Memory Diffusion,0,task_01
1,0.9299999999999999,8,0,0.0,2.0,0.0019675311232276727,Map-Conditioned Improved Failure-Memory Diffusion,0,task_01
1,0.95,6,0,0.0,0.0,0.001913402496332613,Map-Conditioned Improved Failure-Memory Diffusion,0,task_01
1,0.9299999999999999,8,0,0.0,2.0,0.0019248177468398353,Map-Conditioned Improved Failure-Memory Diffusion,0,task_01
1,0.9299999999999999,8,0,0.0,2.0,0.0018961978694278514,Map-Conditioned Improved Failure-Memory Diffusion,0,task_01
1,0.9299999999999999,8,0,0.0,2.0,0.001935932499691262,Map-Conditioned Improved Failure-Memory Diffusion,0,task_01
0,-1.0,1,1,0.0,,1.5420082490891218e-06,Random Policy,0,task_02
