map_id,obstacle_density,free_cell_count,goal_count
train_map_00,0.23494718601980658,25,3
train_map_01,0.15288725345840493,31,3
train_map_02,0.2905202783635484,28,3
train_map_03,0.16707410891341318,33,3
train_map_04,0.29910511292362385,24,3
train_map_05,0.16143772333362863,27,3
train_map_06,0.22422412699688812,30,3
train_map_07,0.23383111442907936,30,3
train_map_08,0.2696175639249223,27,3
train_map_09,0.28168496143943605,26,3
train_map_10,0.1892356107351535,27,3
train_map_11,0.3109299510361833,26,3
train_map_12,0.17841964203807745,29,3
train_map_13,0.23433005834789003,29,3
train_map_14,0.2828529685669257,30,3
train_map_15,0.27619824420049965,26,3
train_map_16,0.29631046761493657,24,3
train_map_17,0.17014380167124846,26,3
