seed,epoch,loss
0,1,1.0028337697650112
0,2,0.9875446488690931
0,3,0.9452301943024923
0,4,0.8939208859621093
0,5,0.84067494508832
0,6,0.7795916379884232
0,7,0.7418440829875858
0,8,0.6972154309583265
0,9,0.6640445035557414
0,10,0.637442292169083
0,11,0.6011122652264529
0,12,0.5834631240645121
0,13,0.559247366910757
0,14,0.5452045008193614
0,15,0.5252601046894871
0,16,0.5205525624197583
0,17,0.49726942943972213
0,18,0.4815040986205256
1,1,0.9973038767659387
1,2,0.9764470929323241
1,3,0.9434672649516616
1,4,0.8787687698075938
1,5,0.8352139897124712
1,6,0.7825800942820172
1,7,0.7263189124506574
1,8,0.6986751348473305
1,9,0.6670804592066033
1,10,0.624562774979791
1,11,0.6031227791032125
1,12,0.5751967554868653
1,13,0.5586392650770586
1,14,0.5445346624352211
1,15,0.5164078986921976
1,16,0.5060909057772437
1,17,0.5016739971415941
1,18,0.48348998538283416
2,1,0.9904590193615403
2,2,0.9802604012711104
2,3,0.9379851194315179
2,4,0.8826547694760699
2,5,0.8320205267085585
2,6,0.7834661963374115
2,7,0.7405039681944736
2,8,0.6978388442549595
2,9,0.6663339706354363
2,10,0.64478751809098
2,11,0.6077320617298747
2,12,0.5939224584158077
2,13,0.5655641167662865
2,14,0.5490702771863272
2,15,0.5368798631568288
2,16,0.5154702413913815
2,17,0.4939345454060754
2,18,0.48160087369209115
