Algorithm,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
MCTS,3,50.0,0.9133333333333334,0.011547005383792525,0.8846466666666668,0.9420200000000001,0.02868666666666669,0.0,0.0,0.0,0.0,0.0,0.7321999999999999,0.022716513817045085,0.6757644967644183,0.7886355032355814,0.056435503235581545,14.78,0.8487638069569171,12.671383644535277,16.88861635546472,2.1086163554647217,4.43768115942029,0.8050095202308207,2.437765250247127,6.437597068593453,1.9999159091731626,0.0,0.0,0.0,0.0,0.0,0.0014360422107939485,4.009328366826093e-05,0.001336436934279757,0.00153564748730814,9.960527651419154e-05
Map-Conditioned Failure-Memory Diffusion,3,50.0,0.28,0.01999999999999999,0.23031323583354085,0.3296867641664592,0.049686764166459174,0.7200000000000001,0.020000000000000018,0.6703132358335409,0.7696867641664593,0.049686764166459244,-0.4842666666666668,0.03694175595898675,-0.57604248247812,-0.3924908508552136,0.09177581581145317,5.426666666666667,0.45489925624618605,4.2965430634365696,6.556790269896764,1.1301236032300968,1.5255189255189254,0.053566758299082515,1.3924409811805138,1.658596869857337,0.1330779443384117,0.3455576335429276,0.004115460295755486,0.3353334382853462,0.35578182880050907,0.010224195257581462,0.0014171622920779402,8.092593235153623e-06,0.0013970575534994322,0.0014372670306564482,2.0104738578508055e-05
Map-Conditioned Improved Failure-Memory Diffusion,3,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8985333333333333,0.008488423489278347,0.877445218530493,0.9196214481361736,0.021088114802840296,11.146666666666667,0.8488423489278407,9.037855186382622,13.255478146950711,2.1088114802840443,4.146666666666667,0.8488423489278402,2.0378551863826244,6.25547814695071,2.108811480284043,0.0,0.0,0.0,0.0,0.0,0.001994590681511988,5.3079940897607085e-05,0.0018627221562445382,0.0021264592067794376,0.00013186852526744978
Map-Conditioned Standard Diffusion,3,50.0,0.13333333333333333,0.030550504633038933,0.05743554738992711,0.20923111927673954,0.07589778594340622,0.8666666666666667,0.03055050463303896,0.7907688807232605,0.9425644526100729,0.07589778594340629,-0.7625333333333332,0.05910578087914359,-0.9093720831041542,-0.6156945835625122,0.14683874977082104,3.92,0.5670978751503127,2.511137080905314,5.328862919094686,1.4088629190946855,1.5,0.8660254037844386,-0.6515,3.6515,2.1515,0.0,0.0,0.0,0.0,0.0,0.001358499647323652,4.144546845677206e-06,0.0013482031912387517,0.0013687961034085522,1.0296456084900282e-05
Policy Iteration,3,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6781762074469713e-07,5.727555062209417e-08,2.5525781931492706e-08,3.1010945955790154e-07,1.4229183881320442e-07
Q-learning,3,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.479078634375356e-07,1.572298762589724e-08,8.088466445295301e-07,8.869690823455412e-07,3.9061218908005606e-08
Random Policy,3,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0153333333333334,0.002715388247255532,-1.0220792761064215,-1.0085873905602454,0.006745942773088031,2.5333333333333337,0.2715388247255507,1.858739056024537,3.2079276106421304,0.6745942773087968,,,,,,0.0,0.0,0.0,0.0,0.0,1.195286900405162e-06,1.348927895873978e-07,8.601675892059202e-07,1.530406211604404e-06,3.351193111992419e-07
Value Iteration,3,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3609422164754794e-07,4.749000941783003e-09,1.242960971565147e-07,1.4789234613858118e-07,1.1798124491033234e-08
