Planner,Best Lambda,Best K,Success Rate,Collision Rate,Repeated Failure Rate,Average Return,Optimality Gap,Inference Time Mean
Failure-Memory Diffusion,0.5,40,0.6416666666666666,0.35833333333333334,0.31122023809523813,0.21033333333333334,2.154248366013072,0.001994878948175098
Standard Diffusion,0.1,40,0.5083333333333333,0.4916666666666667,0.0,-0.038000000000000034,1.6444444444444446,0.001797988396695919
