success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_F,Map,Seed
0,-1.02,3,1,1.0,,0.001163041665373991,0.1,obstacle,0
0,-1.0,1,1,1.0,,0.0011772500001825392,0.1,obstacle,0
0,-1.02,3,1,1.0,,0.0011636663330136798,0.1,obstacle,0
0,-1.02,3,1,1.0,,0.001173360998412439,0.1,obstacle,0
0,-1.02,3,1,1.0,,0.001178235999153306,0.1,obstacle,0
0,-1.02,3,1,1.0,,0.0011656670006535326,0.1,obstacle,0
0,-1.0,1,1,1.0,,0.001168415998108685,0.1,obstacle,0
0,-1.01,2,1,0.0,,0.0011739374967874028,0.5,obstacle,0
0,-1.03,4,1,0.4,,0.001159885248853243,0.5,obstacle,0
0,-1.02,3,1,0.5,,0.001209277666930575,0.5,obstacle,0
0,-1.02,3,1,1.0,,0.0011589306692864436,0.5,obstacle,0
0,-1.04,5,1,0.3333333333333333,,0.0011515665974002331,0.5,obstacle,0
0,-1.03,4,1,0.6,,0.001159031498900731,0.5,obstacle,0
0,-1.02,3,1,1.0,,0.0011547776690955895,0.5,obstacle,0
0,-1.03,4,1,1.0,,0.0011557295001694001,0.5,obstacle,0
0,-1.03,4,1,1.0,,0.0011500002510729246,0.5,obstacle,0
0,-1.06,7,1,0.75,,0.0011514762861354808,0.5,obstacle,0
0,-1.01,2,1,0.0,,0.0011629790024016984,1.0,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.001157249997049803,1.0,obstacle,0
0,-1.02,3,1,0.5,,0.0011589583349026118,1.0,obstacle,0
0,-1.02,3,1,1.0,,0.0011553056683624163,1.0,obstacle,0
0,-1.0,1,1,1.0,,0.0011588750057853758,1.0,obstacle,0
0,-1.02,3,1,0.5,,0.00116694466851186,1.0,obstacle,0
0,-1.02,3,1,1.0,,0.0011592503336335842,1.0,obstacle,0
0,-1.03,4,1,0.6,,0.0011616669999057194,1.0,obstacle,0
0,-1.03,4,1,1.0,,0.0011506042537803296,1.0,obstacle,0
0,-1.01,2,1,1.0,,0.0011583124978642445,1.0,obstacle,0
0,-1.01,2,1,0.0,,0.0011597295015235431,2.0,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.0011602505001064856,2.0,obstacle,0
0,-1.02,3,1,0.5,,0.0011548746673118633,2.0,obstacle,0
