lambda_F,Success Rate,Collision Rate,Repeated Failure Rate,Average Return,Path Length,Optimality Gap,Inference Time Mean
0.0,0.15833333333333333,0.8416666666666667,0.7142472342472342,-0.7153333333333334,4.2,4.2105263157894735,0.0013668163438693203
0.1,0.175,0.825,0.7060312950937951,-0.6846666666666666,4.466666666666667,3.619047619047619,0.0015101457919065924
0.5,0.225,0.775,0.599415316466947,-0.5960000000000001,5.6,5.185185185185185,0.0013316539830659723
1.0,0.2,0.8,0.5788445466570468,-0.6428333333333334,5.283333333333333,3.4166666666666665,0.001309225715408483
2.0,0.2,0.8,0.5729036357161357,-0.6434166666666666,5.341666666666667,3.5833333333333335,0.0013664588950826572
5.0,0.2,0.8,0.5711036532911533,-0.64175,5.175,3.4166666666666665,0.0014189992118223878
