Planner,Best Lambda,Best K,Success Rate,Collision Rate,Repeated Failure Rate,Average Return,Optimality Gap,Inference Time Mean
Standard Diffusion,0.1,40,0.51,0.49,0.0,-0.035425,2.5367965367965364,0.0016894146786991
Failure-Memory Diffusion,0.5,30,0.6275000000000001,0.3725,0.3001323611733094,0.1846,2.6147948717948717,0.0016867241221111
