success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
0,-1.02,3,1,0.0,,0.0017504583423336346,30,0.5,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.001806312007829547,30,0.5,obstacle,0
0,-1.01,2,1,1.0,,0.0018288129940629005,30,0.5,obstacle,0
0,-1.03,4,1,0.6,,0.0017509999452158809,30,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.0017858982448362643,30,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.0017333750147372484,30,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.0017831571037984556,30,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.001798078805829088,30,0.5,obstacle,0
0,-1.02,3,1,1.0,,0.0017990556079894304,30,0.5,obstacle,0
1,0.9,11,0,0.16666666666666666,2.0,0.001789227191528136,30,0.5,obstacle,0
0,-1.02,3,1,0.0,,0.0019851943167547383,40,0.5,obstacle,0
0,-1.03,4,1,0.6,,0.0019925209344364703,40,0.5,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.0019749170169234276,40,0.5,obstacle,0
0,-1.01,2,1,1.0,,0.0019787499913945794,40,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.002025402978890472,40,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.0019727269860191476,40,0.5,obstacle,0
1,0.88,13,0,0.2857142857142857,4.0,0.0020294871646910906,40,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.001983000301859445,40,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.0019670927431434393,40,0.5,obstacle,0
1,0.92,9,0,0.4,0.0,0.0020173563001056514,40,0.5,obstacle,0
0,-1.03,4,1,0.0,,0.0013707602047361434,5,0.5,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.001323582953773439,5,0.5,deceptive,0
0,-1.03,4,1,0.4,,0.0012699482613243163,5,0.5,deceptive,0
0,-1.01,2,1,1.0,,0.0013057284522801638,5,0.5,deceptive,0
0,-1.01,2,1,1.0,,0.0013600834645330906,5,0.5,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0013586917892098426,5,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.0013613190191487472,5,0.5,deceptive,0
