K,lambda_F,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
5,0.5,10,40.0,0.15,0.06009252125773316,0.10701538647376249,0.1929846135262375,0.0429846135262375,0.85,0.06009252125773315,0.8070153864737625,0.8929846135262375,0.042984613526237496,-0.735675,0.11494799850850433,-0.8178981317323324,-0.6534518682676675,0.08222313173233248,4.5675,0.7010953731285224,4.066001426996048,5.0689985730039515,0.5014985730039517,4.7595238095238095,2.9411899611387136,2.655669433959102,6.863378185088517,2.1038543755647074,0.6247468340763198,0.05454085339570765,0.585733368581161,0.6637602995714786,0.03901346549515884,0.0011441477373060605,1.2576754678674221e-05,0.0011351514940471286,0.0011531439805649924,8.996243258932014e-06
10,0.5,10,40.0,0.41500000000000004,0.07283924461137385,0.36289756339670864,0.4671024366032914,0.0521024366032914,0.585,0.07283924461137385,0.5328975633967086,0.6371024366032914,0.0521024366032914,-0.23125,0.14201007397755666,-0.3328308293444191,-0.1296691706555809,0.10158082934441912,7.125,0.6251666444503684,6.677813793817386,7.572186206182614,0.4471862061826147,5.092308422571581,1.6255918270055385,3.9295108735129904,6.255105971630172,1.1627975490585911,0.46106690406425066,0.08060549435453516,0.4034092130504103,0.518724595078091,0.05765769101384038,0.0012379712202703435,1.3614028496462745e-05,0.001228233007574195,0.001247709432966492,9.738212696148577e-06
20,0.5,10,40.0,0.5775,0.024860723150293824,0.5597169455660733,0.5952830544339267,0.017783054433926693,0.4225,0.02486072315029382,0.4047169455660733,0.4402830544339267,0.01778305443392669,0.08507499999999998,0.05022961858638122,0.04914539183385796,0.121004608166142,0.035929608166142026,7.9925,0.6365106702431101,7.537199330414505,8.447800669585494,0.4553006695854948,3.3750227743271224,0.96664653815982,2.6835735392207125,4.066472009433532,0.6914492351064097,0.3347940333249258,0.020160248393520912,0.32037326235957164,0.34921480429027996,0.014420770965354174,0.0014570704733380664,1.218526415247946e-05,0.001448354266073888,0.0014657866806022449,8.716207264178347e-06
30,0.5,10,40.0,0.6275000000000001,0.014191155304938682,0.6173489643385515,0.6376510356614487,0.010151035661448551,0.3725,0.01419115530493868,0.36234896433855146,0.38265103566144854,0.01015103566144855,0.1846,0.026803606722479226,0.16542718694505157,0.2037728130549484,0.019172813054948407,8.04,0.442090991136943,7.723769128009296,8.356230871990702,0.3162308719907025,2.6147948717948717,0.6589732066237555,2.1434265880548646,3.0861631555348787,0.4713682837400072,0.30013236117330944,0.018534252453200735,0.28687467682218015,0.3133900455244387,0.013257684351129286,0.0016867241221111388,2.477549455793621e-05,0.001669002032303545,0.0017044462119187326,1.772208980759383e-05
40,0.5,10,40.0,0.6249999999999999,0.020412414523193166,0.6103988527847979,0.6396011472152019,0.014601147215201973,0.375,0.02041241452319317,0.36039885278479805,0.38960114721520195,0.014601147215201974,0.180525,0.03941295789458081,0.15233262717945684,0.20871737282054315,0.028192372820543148,7.9475,0.6501548960739195,7.4824395173474745,8.412560482652525,0.4650604826525256,2.2556153846153846,0.5823994772862127,1.8390208413167208,2.6722099279140483,0.41659454329866374,0.30544711661546337,0.01547485861193787,0.29437783872721507,0.31651639450371166,0.011069277888248314,0.0019110761963825717,1.9913495721800293e-05,0.0018968319293815792,0.0019253204633835643,1.4244267000992512e-05
