K,lambda_D,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
5,0.1,10,40.0,0.1,0.04409585518440984,0.06845791699966536,0.13154208300033465,0.03154208300033465,0.9,0.04409585518440985,0.8684579169996653,0.9315420830003347,0.031542083000334654,-0.8264250000000001,0.0821603319059075,-0.8851948775196317,-0.7676551224803685,0.058769877519631565,3.6424999999999996,0.9146227212475219,2.9882637760525634,4.296736223947436,0.6542362239474362,4.795238095238096,3.2857043171384706,2.4449501180047877,7.145526072471404,2.3502879772333083,0.0,0.0,0.0,0.0,0.0,0.001093715569852315,4.012071728327674e-06,0.0010908457060311242,0.0010965854336735057,2.8698638211908227e-06
10,0.1,10,40.0,0.36,0.06146362971528592,0.3160346227128664,0.40396537728713355,0.04396537728713357,0.64,0.061463629715285927,0.5960346227128664,0.6839653772871336,0.043965377287133574,-0.331725,0.12049362880805496,-0.41791496105146175,-0.2455350389485382,0.08618996105146179,6.1725,0.5037980746291116,5.812129606481054,6.532870393518946,0.36037039351894595,4.704264705882354,1.4930288200712436,3.636290431029674,5.772238980735033,1.0679742748526795,0.0,0.0,0.0,0.0,0.0,0.0011633591055647495,4.782253057354421e-06,0.001159938325488417,0.0011667798856410821,3.4207800763326113e-06
20,0.1,10,40.0,0.47999999999999987,0.022973414586817044,0.4635669509828515,0.49643304901714824,0.016433049017148343,0.52,0.022973414586817027,0.5035669509828516,0.5364330490171484,0.016433049017148333,-0.09820000000000002,0.04563438640128979,-0.1308426054675481,-0.06555739453245193,0.03264260546754809,6.82,0.7471984713284386,6.285523548601064,7.354476451398937,0.5344764513989367,3.716253869969041,1.3756045681178177,2.7322740087835364,4.700233731154546,0.9839798611855044,0.0,0.0,0.0,0.0,0.0,0.0013400265664984617,5.521455175250329e-06,0.0013360770298199679,0.0013439761031769555,3.949536678493698e-06
30,0.1,10,40.0,0.49749999999999994,0.007905694150420955,0.4918449999999999,0.5031549999999999,0.005655000000000004,0.5025000000000001,0.007905694150420955,0.49684500000000004,0.508155,0.005655000000000004,-0.06165,0.01689148371879221,-0.073732600036416,-0.049567399963584,0.012082600036416003,6.664999999999999,0.4188608891319938,6.365385787386511,6.964614212613487,0.2996142126134873,3.1184210526315788,0.854914458830539,2.5068945790923416,3.729947526170816,0.6115264735392372,0.0,0.0,0.0,0.0,0.0,0.0015159910018100158,4.577419784845446e-06,0.001512716740449687,0.0015192652631703448,3.274261360328833e-06
40,0.1,10,40.0,0.51,0.017480147469502542,0.49749632454036014,0.5225036754596398,0.012503675459639868,0.49000000000000005,0.017480147469502525,0.4774963245403602,0.5025036754596399,0.012503675459639856,-0.035425000000000026,0.03468950569776911,-0.060238653423518695,-0.010611346576481356,0.02481365342351867,6.542500000000001,0.2587496645193747,6.3574145002303,6.727585499769702,0.1850854997697011,2.5367965367965364,0.5617069536230328,2.135003504799578,2.938589568793495,0.4017930319969583,0.0,0.0,0.0,0.0,0.0,0.0016894146786991266,4.049670912832193e-06,0.0016865179199102925,0.0016923114374879607,2.896758788834079e-06
